lemID	lemFreq	lemma	PoS	wordFreq	word	%form
5	56512137	y	c	54946171	y	0.972
5	56512137	y	c	1565795	e	0.028
15	15650321	haber	v	4266566	ha	0.273
15	15650321	haber	v	3180543	hay	0.203
15	15650321	haber	v	2098553	han	0.134
15	15650321	haber	v	1137854	he	0.073
15	15650321	haber	v	1095950	había	0.070
15	15650321	haber	v	786297	haber	0.050
15	15650321	haber	v	579518	hemos	0.037
15	15650321	haber	v	470185	haya	0.030
15	15650321	haber	v	273896	has	0.018
15	15650321	haber	v	263641	habían	0.017
15	15650321	haber	v	217741	hubiera	0.014
15	15650321	haber	v	200744	habrá	0.013
15	15650321	haber	v	184247	hubo	0.012
15	15650321	haber	v	174692	habría	0.011
15	15650321	haber	v	135000	hayan	0.009
15	15650321	haber	v	75051	hubiese	0.005
15	15650321	haber	v	61209	habido	0.004
15	15650321	haber	v	49699	hubieran	0.003
15	15650321	haber	v	41020	habiendo	0.003
15	15650321	haber	v	37957	hayas	0.002
15	15650321	haber	v	37554	habíamos	0.002
15	15650321	haber	v	34711	habéis	0.002
15	15650321	haber	v	30428	habrían	0.002
15	15650321	haber	v	27184	habrán	0.002
15	15650321	haber	v	17450	hayamos	0.001
15	15650321	haber	v	16570	hubiesen	0.001
15	15650321	haber	v	14353	hubiere	0.001
15	15650321	haber	v	10048	habrás	0.001
15	15650321	haber	v	9349	hubiéramos	0.001
15	15650321	haber	v	9190	habian	0.001
15	15650321	haber	v	8700	habías	0.001
15	15650321	haber	v	7508	hubieras	0.000
15	15650321	haber	v	7264	habremos	0.000
15	15650321	haber	v	6868	habiéndo	0.000
15	15650321	haber	v	6392	habra	0.000
15	15650321	haber	v	5863	habria	0.000
15	15650321	haber	v	5272	hubieron	0.000
15	15650321	haber	v	5108	hubieren	0.000
15	15650321	haber	v	4796	habré	0.000
15	15650321	haber	v	4302	habríamos	0.000
15	15650321	haber	v	4202	aya	0.000
15	15650321	haber	v	4037	habida	0.000
15	15650321	haber	v	3673	hubiésemos	0.000
15	15650321	haber	v	3381	habeis	0.000
15	15650321	haber	v	3361	hayáis	0.000
15	15650321	haber	v	3155	habréis	0.000
